TABLE_NAME,COLUMN_NAME,NUM_NULLS,SISTEMA
ACUM_CALIFICADORAS,TCCALIFMOODYS,0,IMRC
ACUM_CALIFICADORAS,TCCALIFSP,0,IMRC
ACUM_CALIFICADORAS,TCCALIFFI,0,IMRC
ACUM_CALIFICADORAS,TCCALIFTBW,1,IMRC
ACUM_CALIFICADORAS,TCCALIFCNBV,0,IMRC
ACUM_CUALIT,CODPROD,0,IMRC
ACUM_CUALIT,ANCUALIT,0,IMRC
ACUM_CUALIT,CAPSECTORA1,0,IMRC
ACUM_CUALIT,CAPSECTORA2,0,IMRC
ACUM_CUALIT,CAPSECTORB,0,IMRC
ACUM_CUALIT,CAPSECTORC1,0,IMRC
ACUM_CUALIT,CAPSECTORC2,0,IMRC
ACUM_CUALIT,CAPSECTORD,0,IMRC
ACUM_CUALIT,CAPSECTORE,0,IMRC
ACUM_CUALIT,CAPSECTORF,0,IMRC
ACUM_CUALIT,CAPSECTORG,0,IMRC
ACUM_CUALIT,CAPSECTORH,0,IMRC
ACUM_CUALITFAAA,CAPSECTORC1,0,IMRC
ACUM_CUALITFAAA,CAPSECTORC2,0,IMRC
ACUM_CUALITFAAA,CAPSECTORD,0,IMRC
ACUM_CUALITFAAA,CAPSECTORE,0,IMRC
ACUM_CUALITFAAA,CAPSECTORF,0,IMRC
ACUM_CUALITFAAA,CAPSECTORG,0,IMRC
ACUM_CUALITFAAA,CAPSECTORH,0,IMRC
ACUM_CUALITFAAA,ANCUALIT,0,IMRC
ACUM_CUALITFAAA,CAPSECTORA1,0,IMRC
ACUM_CUALITFAAA,CAPSECTORA2,0,IMRC
ACUM_CUALITFAAA,CAPSECTORB,0,IMRC
ACUM_EXPPAGO,CODPROD,0,IMRC
ACUM_EXPPAGO,EXPPAGO,0,IMRC
ACUM_EXPPAGO,CAPCUALITA1,0,IMRC
ACUM_EXPPAGO,CAPCUALITA2,0,IMRC
ACUM_EXPPAGO,CAPCUALITB,0,IMRC
ACUM_EXPPAGO,CAPCUALITC1,0,IMRC
ACUM_EXPPAGO,CAPCUALITC2,0,IMRC
ACUM_EXPPAGO,CAPCUALITD,0,IMRC
ACUM_EXPPAGO,CAPCUALITE,0,IMRC
ACUM_EXPPAGO,CAPCUALITF,0,IMRC
ACUM_EXPPAGO,CAPCUALITG,0,IMRC
ACUM_EXPPAGO,CAPCUALITH,0,IMRC
ACUM_EXPPAGOC1,EXPPAGO,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITA1,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITA2,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITB,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITC1,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITC2,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITD,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITE,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITF,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITG,0,IMRC
ACUM_EXPPAGOC1,CAPCUALITH,0,IMRC
ACUM_EXPPAGOFAAA,EXPPAGO,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITA1,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITA2,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITB,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITC1,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITC2,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITD,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITE,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITF,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITG,0,IMRC
ACUM_EXPPAGOFAAA,CAPCUALITH,0,IMRC
AJ_ACUERDO,CALIF_ACUM,0,IMRC
AJ_ACUERDO,MAYOR100,0,IMRC
AJ_ALTAFRANQUICIA,ALTAFRANQUICIA,0,IMRC
AJ_ALTAFRANQUICIA,CALIFACUM,0,IMRC
AJ_ALTAFRANQUICIA,CALIFFINAL,0,IMRC
AJ_CALIFCUALIT,GRADOBURS,0,IMRC
AJ_CALIFCUALIT,CALIFCUANT,0,IMRC
AJ_CALIFCUALIT,CALIFACUALIT,0,IMRC
AJ_CUANTIT,CODPROD,0,IMRC
AJ_CUANTIT,RAZFINAN,0,IMRC
AJ_CUANTIT,CAPREEMBA1,0,IMRC
AJ_CUANTIT,CAPREEMBA2,0,IMRC
AJ_CUANTIT,CAPREEMBB,0,IMRC
AJ_CUANTIT,CAPREEMBC1,0,IMRC
AJ_CUANTIT,CAPREEMBC2,0,IMRC
AJ_CUANTIT,CAPREEMBD,0,IMRC
AJ_CUANTIT,CAPREEMBE,0,IMRC
AJ_CUANTIT,CAPREEMBF,0,IMRC
AJ_CUANTIT,CAPREEMBG,0,IMRC
AJ_CUANTIT,CAPREEMBH,0,IMRC
AJ_GARANTIA,RANGOSUP,0,IMRC
AJ_GARANTIA,AJUSTE,0,IMRC
AJ_INDUSTRIA,CODPROD,0,IMRC
AJ_INDUSTRIA,RIESGOIND,0,IMRC
AJ_INDUSTRIA,CAPCUALITA1,0,IMRC
AJ_INDUSTRIA,CAPCUALITA2,0,IMRC
AJ_INDUSTRIA,CAPCUALITB,0,IMRC
AJ_INDUSTRIA,CAPCUALITC1,0,IMRC
AJ_INDUSTRIA,CAPCUALITC2,0,IMRC
AJ_INDUSTRIA,CAPCUALITD,0,IMRC
AJ_INDUSTRIA,CAPCUALITE,0,IMRC
AJ_INDUSTRIA,CAPCUALITF,0,IMRC
AJ_INDUSTRIA,CAPCUALITG,0,IMRC
AJ_INDUSTRIA,CAPCUALITH,0,IMRC
AJ_INDUSTRIAC1,RIESGOIND,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITA1,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITA2,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITB,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITC1,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITC2,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITD,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITE,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITF,0,IMRC
AJ_INDUSTRIAC1,CAPCUALITG,0,IMRC
