TABLE_NAME,COLUMN_NAME,NUM_NULLS,SISTEMA
SOI_MATRIZ,MA_CUE_SCTA4_A,27,SOI
SOI_MATRIZ,MA_CUE_SCTA3_C,27,SOI
SOI_MATRIZ,MA_CUE_SCTA3_A,25,SOI
SOI_MATRIZ,MA_CUE_SCTA2_C,18,SOI
SOI_MATRIZ,MA_CUE_SCTA2_A,21,SOI
SOI_MATRIZ,MA_CUE_SCTA1_C,5,SOI
SOI_MATRIZ,MA_CUE_SCTA1_A,6,SOI
SOI_MATRIZ,MA_CUE_MAYOR_C,4,SOI
SOI_MATRIZ,MA_CUE_MAYOR_A,4,SOI
SOI_MATRIZ,MA_CENTRO,0,SOI
SOI_MATRIZ,M5000,59,SOI
SOI_MONEDA_LIN,MLNUEVO,564,SOI
SOI_MONEDA_LIN,MLNO_LINEA,0,SOI
SOI_MONEDA_LIN,MLCVE_MON,0,SOI
SOI_DETA_OBI,DOIMP_DAMO,1,SOI
SOI_DETA_OBI,DOFDET_OBI,0,SOI
SOI_DETA_OBI,DOCVE_MON,0,SOI
SOI_DETA_OBI,DOCONSECUT,0,SOI
SOI_COMIS_LIN,CIPORCENTA,1,SOI
SOI_COMIS_LIN,CIPERIODI,2,SOI
SOI_COMIS_LIN,CINUEVO,59,SOI
SOI_COMIS_LIN,CINO_LINEA,0,SOI
SOI_DIAS_FERIADOS,DIA_USUARIO_MODIF,0,SOI
SOI_DIAS_FERIADOS,DIA_USUARIO_CREACION,0,SOI
SOI_DIAS_FERIADOS,DIA_MOTIVO,0,SOI
SOI_DIAS_FERIADOS,DIA_FECHA_MODIF,0,SOI
SOI_DIAS_FERIADOS,DIA_FECHA_CREACION,0,SOI
SOI_DIAS_FERIADOS,DIA_FECHA,0,SOI
SOI_PLAZA,PL_TP_CTA_FFON,390,SOI
SOI_PLAZA,PL_SUC_FFON,390,SOI
SOI_PLAZA,PL_PZA_FFON,390,SOI
SOI_PLAZA,PL_MON_FFON,390,SOI
SOI_PLAZA,PL_ID_PZA,0,SOI
SOI_PLAZA,PL_CTA_FFON,390,SOI
SOI_PLAZA,PL_ACTIVO,0,SOI
