TABLE_NAME,COLUMN_NAME,NUM_NULLS,SISTEMA
EMISORAS,INHABIL,0,SOME
EMISORAS,INDICEINI,0,SOME
EMISORAS,IMPPROMDIARIA,0,SOME
EMISORAS,FECVENCE,0,SOME
EMISORAS,FECHAAPART,61,SOME
EMISORAS,FECEMISORA,0,SOME
EMISORAS,FECALTA,0,SOME
EMISORAS,EMISORACALIF,0,SOME
EMISORAS,EMISIDENTIFICADOR,61,SOME
EMISORAS,EMISBMV,0,SOME
EMISORAS,DIASEM,0,SOME
EMISORAS,DIAREVISION,61,SOME
EMISORAS,DIAMES,0,SOME
EMISORAS,CVESERIE,0,SOME
EMISORAS,CVEMERCADO,0,SOME
EMISORAS,CVEINSTRUMENTO,0,SOME
EMISORAS,CVEINSTDEPOSITO,0,SOME
EMISORAS,CVEEMISORA,0,SOME
EMISORAS,CVEDIVISA,0,SOME
EMISORAS,CVEBANXICO,61,SOME
EMISORAS,CUPONIRREGULAR,0,SOME
EMISORAS,CPZOREV,0,SOME
EMISORAS,CAPITALSOCIAL,0,SOME
EMISORAS,CALIFICACION,61,SOME
EMISORAS,BURSATILIDAD,61,SOME
EMISORAS,ACT,61,SOME
INVENTARIOEMISORA,VERSION,0,SOME
INVENTARIOEMISORA,TITULOSAPARTADOS,0,SOME
INVENTARIOEMISORA,TITULOS,0,SOME
INVENTARIOEMISORA,TIPOPOSICION,0,SOME
INVENTARIOEMISORA,TIPOINVENTARIO,0,SOME
INVENTARIOEMISORA,TIPOINSTRUMENTOS,0,SOME
INVENTARIOEMISORA,TASA,0,SOME
INVENTARIOEMISORA,PRECIO,0,SOME
INVENTARIOEMISORA,OIPROVEED,0,SOME
INVENTARIOEMISORA,OFECHAOPERACION,0,SOME
INVENTARIOEMISORA,OCVEASIGNACIONMD,0,SOME
INVENTARIOEMISORA,OCONSEC,0,SOME
INVENTARIOEMISORA,MONTOMN,0,SOME
INVENTARIOEMISORA,MONTO,0,SOME
INVENTARIOEMISORA,MESA,0,SOME
INVENTARIOEMISORA,JERARQUIA,0,SOME
INVENTARIOEMISORA,INSTRUMENTO,0,SOME
INVENTARIOEMISORA,IDINVENTARION,0,SOME
INVENTARIOEMISORA,ID,0,SOME
INVENTARIOEMISORA,FECHAVENCIMIENTO,0,SOME
INVENTARIOEMISORA,FECHAPOSICION,0,SOME
INVENTARIOEMISORA,FECHAAPARTADO,76110,SOME
INVENTARIOEMISORA,EMISORAS_TIPO_VAL,0,SOME
INVENTARIOEMISORA,EMISORAS_CVE_SERIE,0,SOME
INVENTARIOEMISORA,EMISORAS_CVE_EMISORA,0,SOME
EMISORAS,VERSION,0,SOME
EMISORAS,VECTORCALIF,61,SOME
EMISORAS,USERNAMEALTA,61,SOME
EMISORAS,TIPOVAL,0,SOME
EMISORAS,TASAFIJA,0,SOME
EMISORAS,SUBSUBCUENTA,0,SOME
EMISORAS,SUBCUENTA,0,SOME
EMISORAS,PZOCUP,0,SOME
