,OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,AVG_COL_LEN,DATA_LENGTH,NUM_NULLS,NUM_DISTINCT,NUM_ROWS,SISTEMA
0,FLUFON,CFE_C_VIA,INSTANCIA_LIC,VARCHAR2,2.0,1,0.0,1.0,124.0,FFON
1,FLUFON,ADO_M_DOC,IMPRIMIO_MDO_D,DATE,1.0,7,81309419.0,0.0,81309419.0,FFON
2,FLUFON,ADO_M_DOC,IMPRIMIO_MDO_I,NUMBER,0.0,22,81309419.0,0.0,81309419.0,FFON
3,FLUFON,ADO_M_DOC,CAMBIO_STATUS_MDO_D,DATE,8.0,7,177749.0,14577664.0,81309419.0,FFON
4,FLUFON,ADO_M_DOC,CAMBIO_STATUS_MDO_I,NUMBER,4.0,22,177749.0,253.0,81309419.0,FFON
5,FLUFON,ADO_M_DOC,ELIMINO_MDO_D,DATE,1.0,7,81309419.0,0.0,81309419.0,FFON
6,FLUFON,ADO_M_DOC,ELIMINO_MDO_I,NUMBER,0.0,22,81309419.0,0.0,81309419.0,FFON
7,FLUFON,ADO_M_DOC,VISTO_MDO_D,DATE,2.0,7,81266475.0,42500.0,81309419.0,FFON
8,FLUFON,ADO_M_DOC,VIO_MDO_I,NUMBER,2.0,22,81266475.0,116.0,81309419.0,FFON
9,FLUFON,ADO_M_DOC,MODIFICADO_MDO_D,DATE,2.0,7,81305464.0,3953.0,81309419.0,FFON
10,FLUFON,ADO_M_DOC,MODIFICO_MDO_I,NUMBER,2.0,22,81305464.0,232.0,81309419.0,FFON
11,FLUFON,ADO_M_DOC,CREADO_MDO_D,DATE,8.0,7,0.0,20428800.0,81309419.0,FFON
12,FLUFON,ADO_M_DOC,CREADOR_MDO_I,NUMBER,4.0,22,0.0,373.0,81309419.0,FFON
13,FLUFON,ADO_M_DOC,CLAVE_MDO_S,VARCHAR2,25.0,70,0.0,81309419.0,81309419.0,FFON
14,FLUFON,ADO_M_DOC,ADO_D_STATUS,NUMBER,4.0,22,0.0,29.0,81309419.0,FFON
15,FLUFON,ADO_M_DOC,ADO_ADO_M_DOC,NUMBER,6.0,22,13380947.0,28397568.0,81309419.0,FFON
16,FLUFON,CFE_M_OPERACION,NOTA_REC_S,VARCHAR2,2.0,350,50306392.0,339.0,50307239.0,FFON
17,FLUFON,CFE_M_OPERACION,TRASAUT_OPE_S,VARCHAR2,21.0,40,6648793.0,1570432.0,50307239.0,FFON
18,FLUFON,CFE_M_OPERACION,BLOQUE_OPE_N,NUMBER,2.0,22,49953974.0,1382.0,50307239.0,FFON
19,FLUFON,CFE_M_OPERACION,ARCHIVO_OPE_S,VARCHAR2,2.0,250,50227330.0,2.0,50307239.0,FFON
20,FLUFON,CFE_M_OPERACION,CATBEN_OPE_I,NUMBER,2.0,22,46881983.0,6304.0,50307239.0,FFON
21,FLUFON,CFE_M_OPERACION,DESCRIPCION_OPE_S,VARCHAR2,6.0,100,46592316.0,501056.0,50307239.0,FFON
22,FLUFON,CFE_M_OPERACION,MCONFS_OPE_N,NUMBER,2.0,22,50304302.0,1935.0,50307239.0,FFON
23,FLUFON,CFE_M_OPERACION,MCONFE_OPE_N,NUMBER,2.0,22,50303158.0,4076.0,50307239.0,FFON
24,FLUFON,CFE_M_OPERACION,MONTOSAL_OPE_N,NUMBER,3.0,22,0.0,2579712.0,50307239.0,FFON
25,FLUFON,CFE_M_OPERACION,MONTOENT_OPE_N,NUMBER,3.0,22,0.0,2189056.0,50307239.0,FFON
26,FLUFON,CFE_M_OPERACION,FVENC_OPE_DT,DATE,8.0,7,1177.0,1438.0,50307239.0,FFON
27,FLUFON,CFE_M_OPERACION,FVALOR_OPE_DT,DATE,8.0,7,0.0,1438.0,50307239.0,FFON
28,FLUFON,CFE_M_OPERACION,CFE_C_SISTEMA,NUMBER,5.0,22,0.0,14.0,50307239.0,FFON
29,FLUFON,CFE_M_OPERACION,CFE_C_VIA,NUMBER,5.0,22,0.0,51.0,50307239.0,FFON
30,FLUFON,CFE_M_OPERACION,CFE_C_CTA_INTERNA,NUMBER,5.0,22,0.0,47.0,50307239.0,FFON
31,FLUFON,CFE_M_OPERACION,CFE_C_BENEFICIARIO,NUMBER,6.0,22,0.0,2060288.0,50307239.0,FFON
32,FLUFON,CFE_M_OPERACION,CFE_C_DEPARTAMENTO,NUMBER,5.0,22,0.0,45.0,50307239.0,FFON
33,FLUFON,CFE_M_OPERACION,CFE_C_SUBCONCEPTO,NUMBER,5.0,22,0.0,224.0,50307239.0,FFON
34,FLUFON,CFE_M_OPERACION,CFE_M_OPERACION,NUMBER,7.0,22,0.0,50307239.0,50307239.0,FFON
35,FLUFON,CFE_D_EDETALLE,IDOPERACION_CEN_I,NUMBER,9.0,22,0.0,170368.0,6764140.0,FFON
36,FLUFON,CFE_D_EDETALLE,FHORA,DATE,8.0,7,0.0,84176.0,6764140.0,FFON
37,FLUFON,CFE_D_EDETALLE,VALOR_EDT_S,VARCHAR2,12.0,255,57774.0,486944.0,6764140.0,FFON
38,FLUFON,CFE_D_EDETALLE,IDCAMPO_CEN_I,NUMBER,4.0,22,0.0,92.0,6764140.0,FFON
39,FLUFON,CFE_D_EDETALLE,IDREGISTRO_EDT_I,NUMBER,3.0,22,0.0,7.0,6764140.0,FFON
40,FLUFON,CFE_D_EDETALLE,IDSISTEMA_CEN_I,NUMBER,4.0,22,0.0,10.0,6764140.0,FFON
41,FLUFON,TMP_INTERFASE_VALIDA,IDVALOR,VARCHAR2,22.0,255,0.0,62768.0,1050616.0,FFON
42,FLUFON,CFE_M_ENCABEZADO_VOL,STATUS_CEN_I,NUMBER,4.0,22,3.0,12.0,8203508.0,FFON
43,FLUFON,CFE_M_ENCABEZADO_VOL,IDSISTEMA_CEN_I,NUMBER,3.0,22,0.0,1.0,8203508.0,FFON
44,FLUFON,CFE_M_ENCABEZADO_VOL,IDOPEREF_CEN_I,NUMBER,4.0,22,4682436.0,3368960.0,8203508.0,FFON
45,FLUFON,CFE_M_ENCABEZADO_VOL,IDOPERACION_CEN_I,NUMBER,9.0,22,0.0,8203508.0,8203508.0,FFON
46,FLUFON,CFE_M_ENCABEZADO_VOL,HISTORIA_CEN_S,VARCHAR2,80.0,255,1034832.0,3279872.0,8203508.0,FFON
47,FLUFON,CFE_M_ENCABEZADO_VOL,FHORA,DATE,8.0,7,0.0,1048576.0,8203508.0,FFON
48,FLUFON,CFE_M_ENCABEZADO_VOL,ERROR_CEN_S,VARCHAR2,6.0,255,7192633.0,33420.0,8203508.0,FFON
49,FLUFON,CFE_M_ENCABEZADO_VOL,STATUS_ESB,NUMBER,3.0,22,0.0,2.0,8203508.0,FFON
50,FLUFON,CFE_M_ENCABEZADO_VOL,CEE_CEN_S,VARCHAR2,40.0,500,6837540.0,1366272.0,8203508.0,FFON
51,FLUFON,CFE_M_ENCABEZADO_MOV,STATUS_ESB,NUMBER,3.0,22,0.0,2.0,3159365.0,FFON
52,FLUFON,CFE_M_ENCABEZADO_MOV,STATUS_CEN_I,NUMBER,3.0,22,0.0,2.0,3159365.0,FFON
53,FLUFON,CFE_M_ENCABEZADO_MOV,IDSISTEMA_CEN_I,NUMBER,3.0,22,0.0,1.0,3159365.0,FFON
54,FLUFON,CFE_M_ENCABEZADO_MOV,IDOPEREF_CEN_I,NUMBER,5.0,22,992435.0,2176512.0,3159365.0,FFON
55,FLUFON,CFE_M_ENCABEZADO_MOV,IDOPERACION_CEN_I,NUMBER,9.0,22,0.0,3151616.0,3159365.0,FFON
56,FLUFON,CFE_M_ENCABEZADO_MOV,HISTORIA_CEN_S,VARCHAR2,0.0,255,3159365.0,0.0,3159365.0,FFON
57,FLUFON,CFE_M_ENCABEZADO_MOV,FHORA,DATE,8.0,7,0.0,697984.0,3159365.0,FFON
58,FLUFON,CFE_M_ENCABEZADO_MOV,ERROR_CEN_S,VARCHAR2,0.0,255,3159365.0,0.0,3159365.0,FFON
59,FLUFON,CFE_M_ENCABEZADO_MOV,CEE_CEN_S,VARCHAR2,47.0,500,2166930.0,1004352.0,3159365.0,FFON
60,FLUFON,CFE_D_EDETALLE_MOV,VALOR_EDT_S,VARCHAR2,14.0,255,1.0,5839360.0,38358535.0,FFON
61,FLUFON,CFE_D_EDETALLE_MOV,IDSISTEMA_CEN_I,NUMBER,3.0,22,0.0,1.0,38358535.0,FFON
62,FLUFON,CFE_D_EDETALLE_MOV,IDREGISTRO_EDT_I,NUMBER,2.0,22,0.0,1.0,38358535.0,FFON
63,FLUFON,CFE_D_EDETALLE_MOV,IDOPERACION_CEN_I,NUMBER,9.0,22,0.0,3151616.0,38358535.0,FFON
64,FLUFON,CFE_D_EDETALLE_MOV,IDCAMPO_CEN_I,NUMBER,4.0,22,0.0,21.0,38358535.0,FFON
65,FLUFON,CFE_D_EDETALLE_MOV,FHORA,DATE,8.0,7,0.0,720448.0,38358535.0,FFON
66,FLUFON,CFE_M_ENCABEZADO,CEE_CEN_S,VARCHAR2,31.0,500,157161.0,22080.0,179153.0,FFON
67,FLUFON,CFE_M_ENCABEZADO,FHORA,DATE,8.0,7,0.0,80768.0,179153.0,FFON
68,FLUFON,CFE_M_ENCABEZADO,HISTORIA_CEN_S,VARCHAR2,115.0,255,7.0,121832.0,179153.0,FFON
69,FLUFON,CFE_M_ENCABEZADO,ERROR_CEN_S,VARCHAR2,2.0,255,178128.0,549.0,179153.0,FFON
70,FLUFON,CFE_M_ENCABEZADO,STATUS_CEN_I,NUMBER,4.0,22,5.0,13.0,179153.0,FFON
71,FLUFON,CFE_M_ENCABEZADO,IDOPEREF_CEN_I,NUMBER,4.0,22,50626.0,55908.0,179153.0,FFON
72,FLUFON,CFE_M_ENCABEZADO,IDSISTEMA_CEN_I,NUMBER,4.0,22,0.0,10.0,179153.0,FFON
73,FLUFON,CFE_M_ENCABEZADO,IDOPERACION_CEN_I,NUMBER,9.0,22,0.0,170368.0,179153.0,FFON
74,FLUFON,TMP_INTERFASE_VALIDA,IDSISTEMA,NUMBER,2.0,22,0.0,1.0,1050616.0,FFON
75,FLUFON,ADO_C_DOCUMENTO,TIPO_DOC_I,NUMBER,3.0,22,0.0,2.0,35.0,FFON
76,FLUFON,ADO_C_DOCUMENTO,STATUS_DOC_I,NUMBER,3.0,22,0.0,1.0,35.0,FFON
77,FLUFON,ADO_C_DOCUMENTO,ORDEN_DOC_I,NUMBER,4.0,22,0.0,32.0,35.0,FFON
78,FLUFON,ADO_C_DOCUMENTO,OBJECT_DOC_S,VARCHAR2,17.0,60,8.0,25.0,35.0,FFON
79,FLUFON,ADO_C_DOCUMENTO,NOMBRE_DOC_S,VARCHAR2,28.0,60,0.0,35.0,35.0,FFON
80,FLUFON,ADO_C_DOCUMENTO,ICON_DOC_I,NUMBER,4.0,22,0.0,5.0,35.0,FFON
81,FLUFON,ADO_C_DOCUMENTO,DISPLAY_DOC_S,VARCHAR2,16.0,60,12.0,13.0,35.0,FFON
82,FLUFON,ADO_C_DOCUMENTO,DESCRIPCION_DOC_S,VARCHAR2,32.0,250,0.0,35.0,35.0,FFON
83,FLUFON,ADO_C_DOCUMENTO,ADO_C_DOCUMENTO,NUMBER,4.0,22,0.0,35.0,35.0,FFON
84,FLUFON,ADO_C_DOCUMENTO,ADO_ADO_C_DOCUMENTO,NUMBER,3.0,22,3.0,3.0,35.0,FFON
85,FLUFON,ADO_D_DOC_PROP,VALUE_DDP_S,VARCHAR2,2.0,250,96643.0,8.0,96678.0,FFON
86,FLUFON,ADO_D_DOC_PROP,UPDATEABLE_DDP_N,NUMBER,2.0,22,0.0,1.0,96678.0,FFON
87,FLUFON,ADO_D_DOC_PROP,NAME_DDP_S,VARCHAR2,27.0,250,0.0,1.0,96678.0,FFON
88,FLUFON,ADO_D_DOC_PROP,MODIFIED_DDP_D,DATE,8.0,7,0.0,96200.0,96678.0,FFON
89,FLUFON,ADO_D_DOC_PROP,COMMENT_DDP_S,VARCHAR2,94.0,250,0.0,1.0,96678.0,FFON
