SISTEMA,OWNER,TABLE_NAME,NUM_ROWS,NUM_ROWS_STR,text,bubble_size
SIMS,SIMS,SIMS_MOV_CUPONES,244.0,244.00,Sistema: SIMS<br>Tabla:  SIMS_MOV_CUPONES<br>Numero de registro: 244.00<br>,35.62049935181331
SISEC,SISEC,SISEC_MO_PER_PROG_DET,660.0,660.00,Sistema: SISEC<br>Tabla:  SISEC_MO_PER_PROG_DET<br>Numero de registro: 660.00<br>,45.69046515733026
SIAG,GIA,SIAG_CARTERAS,6.0,6.00,Sistema: SIAG<br>Tabla:  SIAG_CARTERAS<br>Numero de registro: 6.00<br>,22.44948974278318
FFON,FLUFON,CFE_C_DEPARTAMENTO,55.0,55.00,Sistema: FFON<br>Tabla:  CFE_C_DEPARTAMENTO<br>Numero de registro: 55.00<br>,27.416198487095663
SIAG,GIA,GIA_CONCEPTOS_EDO,1917.0,"1,917.00","Sistema: SIAG<br>Tabla:  GIA_CONCEPTOS_EDO<br>Numero de registro: 1,917.00<br>",63.78355855797927
SISEC,SISEC,DMRS_TABLEVIEWS,0.0,0.00,Sistema: SISEC<br>Tabla:  DMRS_TABLEVIEWS<br>Numero de registro: 0.00<br>,20.0
FFON,FLUFON,CFE_M_MT300TMP,95015.0,"95,015.00","Sistema: FFON<br>Tabla:  CFE_M_MT300TMP<br>Numero de registro: 95,015.00<br>",328.2450324011727
SISEC,SISEC,SISEC_USUARIOS_SEGUIMIENTO,15.0,15.00,Sistema: SISEC<br>Tabla:  SISEC_USUARIOS_SEGUIMIENTO<br>Numero de registro: 15.00<br>,23.872983346207416
SIAG,GIA,SIAG_HIS_CONC_CEDULA,3338.0,"3,338.00","Sistema: SIAG<br>Tabla:  SIAG_HIS_CONC_CEDULA<br>Numero de registro: 3,338.00<br>",77.77542730261716
SIRAC,SIRAC,PR_SALDOS_OPERACION,2274.0,"2,274.00","Sistema: SIRAC<br>Tabla:  PR_SALDOS_OPERACION<br>Numero de registro: 2,274.00<br>",67.68647607026546
SIRYS,SIRYS,RCV_FUNCION,43.0,43.00,Sistema: SIRYS<br>Tabla:  RCV_FUNCION<br>Numero de registro: 43.00<br>,26.557438524302
SISEC,SISEC,SISEC_LINEAS_CREDITOS,0.0,0.00,Sistema: SISEC<br>Tabla:  SISEC_LINEAS_CREDITOS<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,MG_NIVELES,0.0,0.00,Sistema: SIRAC<br>Tabla:  MG_NIVELES<br>Numero de registro: 0.00<br>,20.0
FFON,FLUFON,CFE_D_CONCILIACION,0.0,0.00,Sistema: FFON<br>Tabla:  CFE_D_CONCILIACION<br>Numero de registro: 0.00<br>,20.0
SIRAC,SIRAC,PR_ANTERIOR_MONARKA,0.0,0.00,Sistema: SIRAC<br>Tabla:  PR_ANTERIOR_MONARKA<br>Numero de registro: 0.00<br>,20.0
FFON,FLUFON,CFE_C_DIVISA,9.0,9.00,Sistema: FFON<br>Tabla:  CFE_C_DIVISA<br>Numero de registro: 9.00<br>,23.0
SIAG,GIA,SIAG_CAT_TIPOCONTRAGARANTIA,4.0,4.00,Sistema: SIAG<br>Tabla:  SIAG_CAT_TIPOCONTRAGARANTIA<br>Numero de registro: 4.00<br>,22.0
SIRAC,SIRAC,MG_DEPARTAMENTOS_DE_EMPRESA,47.0,47.00,Sistema: SIRAC<br>Tabla:  MG_DEPARTAMENTOS_DE_EMPRESA<br>Numero de registro: 47.00<br>,26.855654600401046
SIRAC,SIRAC,PR_AMORT_X_TIPO_CREDITO,15.0,15.00,Sistema: SIRAC<br>Tabla:  PR_AMORT_X_TIPO_CREDITO<br>Numero de registro: 15.00<br>,23.872983346207416
